trial_id,loss,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/lr_g,config/lr_d,config/batch_size,config/hidden_dim,config/embedding_dim,config/num_layers,config/dropout_prob,config/num_heads,config/bidirectional,config/n_disc_steps,config/clip_value,config/optimizer,config/n_epochs
61475_00000,0.6931262612342834,1724157877,,True,25,2024-08-20_08-44-37,79.35729598999023,1963.8059968948364,455360,WUSSYRD230001,172.27.161.222,1963.8059968948364,25,"0_batch_size=64,bidirectional=False,clip_value=0.0024,dropout_prob=0.5000,embedding_dim=32,hidden_dim=16,lr_d=0.0001,lr_g=0.0076,n_disc_steps=5,num_heads=4,num_layers=2",0.007585268004427478,8.699668134014402e-05,64,16,32,2,0.5,4,False,5,0.002432665325870104,rmsprop,25
61475_00001,0.6934844851493835,1724156334,,True,25,2024-08-20_08-18-54,16.904019117355347,420.6675419807434,455361,WUSSYRD230001,172.27.161.222,420.6675419807434,25,"1_batch_size=128,bidirectional=True,clip_value=0.0051,dropout_prob=0.2500,embedding_dim=16,hidden_dim=16,lr_d=0.0013,lr_g=0.0001,n_disc_steps=1,num_heads=2,num_layers=2",5.327774381428646e-05,0.0013389863423431782,128,16,16,2,0.25,2,True,1,0.005121381747424842,rmsprop,25
61475_00002,0.6931912899017334,1724158031,,True,25,2024-08-20_08-47-11,67.2678451538086,1692.9590871334076,459775,WUSSYRD230001,172.27.161.222,1692.9590871334076,25,"2_batch_size=32,bidirectional=True,clip_value=0.0051,dropout_prob=0.2500,embedding_dim=32,hidden_dim=64,lr_d=0.0002,lr_g=0.0001,n_disc_steps=3,num_heads=4,num_layers=2",5.8015754835226455e-05,0.00018377947425926848,32,64,32,2,0.25,4,True,3,0.005088719870289755,rmsprop,25
61475_00003,0.6931543350219727,1724161708,,True,25,2024-08-20_09-48-28,150.64941143989563,3828.215713739395,471651,WUSSYRD230001,172.27.161.222,3828.215713739395,25,"3_batch_size=32,bidirectional=True,clip_value=0.0036,dropout_prob=0.2500,embedding_dim=16,hidden_dim=128,lr_d=0.0000,lr_g=0.0036,n_disc_steps=5,num_heads=2,num_layers=3",0.0036164454798606085,2.9968395503961184e-05,32,128,16,3,0.25,2,True,5,0.0036207594629644713,rmsprop,25
61475_00004,0.6937595009803772,1724158277,,True,5,2024-08-20_08-51-17,47.85590887069702,242.89671921730042,473010,WUSSYRD230001,172.27.161.222,242.89671921730042,5,"4_batch_size=128,bidirectional=True,clip_value=0.0012,dropout_prob=0.5000,embedding_dim=64,hidden_dim=64,lr_d=0.0026,lr_g=0.0004,n_disc_steps=3,num_heads=4,num_layers=3",0.000376708004466911,0.0026073320001207974,128,64,64,3,0.5,4,True,3,0.0011735599704718043,rmsprop,25
61475_00005,0.6934806704521179,1724158481,,True,5,2024-08-20_08-54-41,40.12088966369629,201.3436963558197,475072,WUSSYRD230001,172.27.161.222,201.3436963558197,5,"5_batch_size=128,bidirectional=True,clip_value=0.0043,dropout_prob=0.2500,embedding_dim=16,hidden_dim=16,lr_d=0.0019,lr_g=0.0029,n_disc_steps=3,num_heads=8,num_layers=3",0.00293273179377556,0.001856256498621801,128,16,16,3,0.25,8,True,3,0.004290223104758489,rmsprop,25
61475_00006,0.6938257813453674,1724159260,,True,10,2024-08-20_09-07-40,77.54318976402283,775.6632611751556,476840,WUSSYRD230001,172.27.161.222,775.6632611751556,10,"6_batch_size=64,bidirectional=False,clip_value=0.0013,dropout_prob=0.2500,embedding_dim=64,hidden_dim=32,lr_d=0.0051,lr_g=0.0011,n_disc_steps=5,num_heads=4,num_layers=3",0.0010556292679823195,0.005050570213162143,64,32,64,3,0.25,4,False,5,0.0013019548366194826,rmsprop,25
61475_00007,0.6964928507804871,1724159965,,True,10,2024-08-20_09-19-25,70.1176221370697,702.0062425136566,482681,WUSSYRD230001,172.27.161.222,702.0062425136566,10,"7_batch_size=64,bidirectional=False,clip_value=0.0081,dropout_prob=0.5000,embedding_dim=16,hidden_dim=16,lr_d=0.0137,lr_g=0.0000,n_disc_steps=5,num_heads=4,num_layers=3",3.973103921672913e-05,0.013735202344860272,64,16,16,3,0.5,4,False,5,0.00812145880825984,rmsprop,25
61475_00008,0.6931340098381042,1724160928,,True,25,2024-08-20_09-35-28,37.66971826553345,960.279185295105,487986,WUSSYRD230001,172.27.161.222,960.279185295105,25,"8_batch_size=128,bidirectional=True,clip_value=0.0028,dropout_prob=0.5000,embedding_dim=32,hidden_dim=16,lr_d=0.0001,lr_g=0.0009,n_disc_steps=3,num_heads=2,num_layers=3",0.0008720801474273564,5.347658270536682e-05,128,16,32,3,0.5,2,True,3,0.0027704771308291586,rmsprop,25
61475_00009,0.6931381821632385,1724161384,,True,25,2024-08-20_09-43-04,17.950634241104126,452.3900911808014,495327,WUSSYRD230001,172.27.161.222,452.3900911808014,25,"9_batch_size=128,bidirectional=False,clip_value=0.0069,dropout_prob=0.2500,embedding_dim=64,hidden_dim=32,lr_d=0.0000,lr_g=0.0151,n_disc_steps=1,num_heads=8,num_layers=2",0.015107189784715517,3.7108977718822155e-05,128,32,64,2,0.25,8,False,1,0.006861196788719581,rmsprop,25
61475_00010,0.6933407187461853,1724161575,,True,10,2024-08-20_09-46-15,18.5101101398468,189.07896494865417,499482,WUSSYRD230001,172.27.161.222,189.07896494865417,10,"10_batch_size=128,bidirectional=False,clip_value=0.0031,dropout_prob=0.5000,embedding_dim=64,hidden_dim=64,lr_d=0.0006,lr_g=0.0000,n_disc_steps=1,num_heads=8,num_layers=3",2.3469150860677393e-05,0.0005913055977373432,128,64,64,3,0.5,8,False,1,0.0030758648797425624,rmsprop,25
61475_00011,0.6921328902244568,1724163158,,True,25,2024-08-20_10-12-38,64.16843366622925,1580.0060412883759,501330,WUSSYRD230001,172.27.161.222,1580.0060412883759,25,"11_batch_size=32,bidirectional=True,clip_value=0.0034,dropout_prob=0.2500,embedding_dim=16,hidden_dim=16,lr_d=0.0040,lr_g=0.0004,n_disc_steps=3,num_heads=8,num_layers=3",0.00037635345826210606,0.004045582666115791,32,16,16,3,0.25,8,True,3,0.003354808343248488,rmsprop,25
61475_00012,0.6945241689682007,1724162031,,True,5,2024-08-20_09-53-51,63.542020320892334,320.09144735336304,502556,WUSSYRD230001,172.27.161.222,320.09144735336304,5,"12_batch_size=32,bidirectional=False,clip_value=0.0031,dropout_prob=0.5000,embedding_dim=16,hidden_dim=32,lr_d=0.0060,lr_g=0.0181,n_disc_steps=3,num_heads=4,num_layers=2",0.018136246368893348,0.005997255868112916,32,32,16,2,0.5,4,False,3,0.003074109668543642,rmsprop,25
61475_00013,0.6931355595588684,1724164502,,True,25,2024-08-20_10-35-02,99.3140344619751,2467.7839572429657,505260,WUSSYRD230001,172.27.161.222,2467.7839572429657,25,"13_batch_size=128,bidirectional=True,clip_value=0.0032,dropout_prob=0.5000,embedding_dim=32,hidden_dim=128,lr_d=0.0000,lr_g=0.0072,n_disc_steps=5,num_heads=8,num_layers=2",0.007191459195124597,4.84943699121914e-05,128,128,32,2,0.5,8,True,5,0.0031930726068925,rmsprop,25
61475_00014,0.6935967206954956,1724163656,,True,10,2024-08-20_10-20-56,49.784780979156494,495.1836566925049,513441,WUSSYRD230001,172.27.161.222,495.1836566925049,10,"14_batch_size=64,bidirectional=False,clip_value=0.0017,dropout_prob=0.5000,embedding_dim=32,hidden_dim=16,lr_d=0.0018,lr_g=0.0028,n_disc_steps=3,num_heads=8,num_layers=3",0.0027906101979332755,0.0018432840212814319,64,16,32,3,0.5,8,False,3,0.001737783917329398,rmsprop,25
